Sample_name,Locus,file1,file2
RS-145,MiMammal,Locus_MiMammal_RS-145_S49_L001_R1_001.fastq,Locus_MiMammal_RS-145_S49_L001_R2_001.fastq
RS-146,MiMammal,Locus_MiMammal_RS-146_S50_L001_R1_001.fastq,Locus_MiMammal_RS-146_S50_L001_R2_001.fastq
RS-147,MiMammal,Locus_MiMammal_RS-147_S51_L001_R1_001.fastq,Locus_MiMammal_RS-147_S51_L001_R2_001.fastq
RS-148,MiMammal,Locus_MiMammal_RS-148_S52_L001_R1_001.fastq,Locus_MiMammal_RS-148_S52_L001_R2_001.fastq
RS-149,MiMammal,Locus_MiMammal_RS-149_S53_L001_R1_001.fastq,Locus_MiMammal_RS-149_S53_L001_R2_001.fastq
RS-150,MiMammal,Locus_MiMammal_RS-150_S54_L001_R1_001.fastq,Locus_MiMammal_RS-150_S54_L001_R2_001.fastq
RS-151,MiMammal,Locus_MiMammal_RS-151_S55_L001_R1_001.fastq,Locus_MiMammal_RS-151_S55_L001_R2_001.fastq
RS-152,MiMammal,Locus_MiMammal_RS-152_S56_L001_R1_001.fastq,Locus_MiMammal_RS-152_S56_L001_R2_001.fastq
RS-153,MiMammal,Locus_MiMammal_RS-153_S57_L001_R1_001.fastq,Locus_MiMammal_RS-153_S57_L001_R2_001.fastq
RS-154,MiMammal,Locus_MiMammal_RS-154_S58_L001_R1_001.fastq,Locus_MiMammal_RS-154_S58_L001_R2_001.fastq
RS-155,MiMammal,Locus_MiMammal_RS-155_S59_L001_R1_001.fastq,Locus_MiMammal_RS-155_S59_L001_R2_001.fastq
RS-156,MiMammal,Locus_MiMammal_RS-156_S60_L001_R1_001.fastq,Locus_MiMammal_RS-156_S60_L001_R2_001.fastq
RS-157,MiMammal,Locus_MiMammal_RS-157_S61_L001_R1_001.fastq,Locus_MiMammal_RS-157_S61_L001_R2_001.fastq
RS-158,MiMammal,Locus_MiMammal_RS-158_S62_L001_R1_001.fastq,Locus_MiMammal_RS-158_S62_L001_R2_001.fastq
RS-159,MiMammal,Locus_MiMammal_RS-159_S63_L001_R1_001.fastq,Locus_MiMammal_RS-159_S63_L001_R2_001.fastq
RS-160,MiMammal,Locus_MiMammal_RS-160_S64_L001_R1_001.fastq,Locus_MiMammal_RS-160_S64_L001_R2_001.fastq
RS-161,MiMammal,Locus_MiMammal_RS-161_S65_L001_R1_001.fastq,Locus_MiMammal_RS-161_S65_L001_R2_001.fastq
RS-162,MiMammal,Locus_MiMammal_RS-162_S66_L001_R1_001.fastq,Locus_MiMammal_RS-162_S66_L001_R2_001.fastq
RS-163,MiMammal,Locus_MiMammal_RS-163_S67_L001_R1_001.fastq,Locus_MiMammal_RS-163_S67_L001_R2_001.fastq
RS-164,MiMammal,Locus_MiMammal_RS-164_S68_L001_R1_001.fastq,Locus_MiMammal_RS-164_S68_L001_R2_001.fastq
RS-165,MiMammal,Locus_MiMammal_RS-165_S69_L001_R1_001.fastq,Locus_MiMammal_RS-165_S69_L001_R2_001.fastq
